,population,median_income,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,median_house_value
0,322.0,8.3252,0.0,0.0,0.0,1.0,0.0,452600.0
1,2401.0,8.3014,0.0,0.0,0.0,1.0,0.0,358500.0
2,496.0,7.2574,0.0,0.0,0.0,1.0,0.0,352100.0
3,558.0,5.6431,0.0,0.0,0.0,1.0,0.0,341300.0
4,565.0,3.8462,0.0,0.0,0.0,1.0,0.0,342200.0
5,413.0,4.0368,0.0,0.0,0.0,1.0,0.0,269700.0
6,1094.0,3.6591,0.0,0.0,0.0,1.0,0.0,299200.0
7,1157.0,3.12,0.0,0.0,0.0,1.0,0.0,241400.0
8,1206.0,2.0804,0.0,0.0,0.0,1.0,0.0,226700.0
9,1551.0,3.6912,0.0,0.0,0.0,1.0,0.0,261100.0
10,910.0,3.2031,0.0,0.0,0.0,1.0,0.0,281500.0
11,1504.0,3.2705,0.0,0.0,0.0,1.0,0.0,241800.0
12,1098.0,3.075,0.0,0.0,0.0,1.0,0.0,213500.0
13,345.0,2.6736,0.0,0.0,0.0,1.0,0.0,191300.0
14,1212.0,1.9167,0.0,0.0,0.0,1.0,0.0,159200.0
15,697.0,2.125,0.0,0.0,0.0,1.0,0.0,140000.0
16,793.0,2.775,0.0,0.0,0.0,1.0,0.0,152500.0
17,648.0,2.1202,0.0,0.0,0.0,1.0,0.0,155500.0
18,990.0,1.9911,0.0,0.0,0.0,1.0,0.0,158700.0
19,690.0,2.6033,0.0,0.0,0.0,1.0,0.0,162900.0
20,409.0,1.3578,0.0,0.0,0.0,1.0,0.0,147500.0
21,929.0,1.7135,0.0,0.0,0.0,1.0,0.0,159800.0
22,1015.0,1.725,0.0,0.0,0.0,1.0,0.0,113900.0
23,853.0,2.1806,0.0,0.0,0.0,1.0,0.0,99700.0
24,1006.0,2.6,0.0,0.0,0.0,1.0,0.0,132600.0
25,317.0,2.4038,0.0,0.0,0.0,1.0,0.0,107500.0
26,607.0,2.4597,0.0,0.0,0.0,1.0,0.0,93800.0
27,1102.0,1.808,0.0,0.0,0.0,1.0,0.0,105500.0
28,1131.0,1.6424,0.0,0.0,0.0,1.0,0.0,108900.0
29,395.0,1.6875,0.0,0.0,0.0,1.0,0.0,132000.0
30,863.0,1.9274,0.0,0.0,0.0,1.0,0.0,122300.0
31,1168.0,1.9615,0.0,0.0,0.0,1.0,0.0,115200.0
32,1026.0,1.7969,0.0,0.0,0.0,1.0,0.0,110400.0
33,754.0,1.375,0.0,0.0,0.0,1.0,0.0,104900.0
34,1258.0,2.7303,0.0,0.0,0.0,1.0,0.0,109700.0
35,570.0,1.4861,0.0,0.0,0.0,1.0,0.0,97200.0
36,987.0,1.0972,0.0,0.0,0.0,1.0,0.0,104500.0
37,901.0,1.4103,0.0,0.0,0.0,1.0,0.0,103900.0
38,689.0,3.48,0.0,0.0,0.0,1.0,0.0,191400.0
39,1377.0,2.5898,0.0,0.0,0.0,1.0,0.0,176000.0
40,946.0,2.0978,0.0,0.0,0.0,1.0,0.0,155400.0
41,517.0,1.2852,0.0,0.0,0.0,1.0,0.0,150000.0
42,462.0,1.025,0.0,0.0,0.0,1.0,0.0,118800.0
43,467.0,3.9643,0.0,0.0,0.0,1.0,0.0,188800.0
44,660.0,3.0125,0.0,0.0,0.0,1.0,0.0,184400.0
45,718.0,2.6768,0.0,0.0,0.0,1.0,0.0,182300.0
46,616.0,2.026,0.0,0.0,0.0,1.0,0.0,142500.0
47,558.0,1.7348,0.0,0.0,0.0,1.0,0.0,137500.0
