,population,median_income,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,median_house_value
232,485.0,6.0574,1.0,0.0,0.0,0.0,0.0,263400.0
285,2079.0,3.6832,1.0,0.0,0.0,0.0,0.0,135300.0
288,648.0,3.5714,1.0,0.0,0.0,0.0,0.0,140600.0
292,1606.0,4.1387,1.0,0.0,0.0,0.0,0.0,145800.0
293,3080.0,3.168,1.0,0.0,0.0,0.0,0.0,141900.0
294,2412.0,8.3996,1.0,0.0,0.0,0.0,0.0,90700.0
295,1631.0,6.2179,1.0,0.0,0.0,0.0,0.0,90600.0
296,1067.0,6.7599,1.0,0.0,0.0,0.0,0.0,107900.0
297,1538.0,4.9615,1.0,0.0,0.0,0.0,0.0,107000.0
298,1353.0,4.75,1.0,0.0,0.0,0.0,0.0,98200.0
299,2142.0,4.1947,1.0,0.0,0.0,0.0,0.0,89500.0
300,1772.0,5.3283,1.0,0.0,0.0,0.0,0.0,93800.0
302,852.0,5.8325,1.0,0.0,0.0,0.0,0.0,97500.0
303,1776.0,4.5317,1.0,0.0,0.0,0.0,0.0,97300.0
304,2721.0,5.2308,1.0,0.0,0.0,0.0,0.0,91200.0
305,2855.0,4.7478,1.0,0.0,0.0,0.0,0.0,91400.0
306,3571.0,5.1643,1.0,0.0,0.0,0.0,0.0,96200.0
307,2759.0,6.868,1.0,0.0,0.0,0.0,0.0,120100.0
313,3223.0,4.9867,1.0,0.0,0.0,0.0,0.0,72500.0
314,2038.0,5.7233,1.0,0.0,0.0,0.0,0.0,74100.0
315,2288.0,4.2281,1.0,0.0,0.0,0.0,0.0,70000.0
318,926.0,5.9345,1.0,0.0,0.0,0.0,0.0,81400.0
319,1395.0,6.3132,1.0,0.0,0.0,0.0,0.0,81800.0
320,734.0,6.2918,1.0,0.0,0.0,0.0,0.0,85800.0
322,3926.0,7.4353,1.0,0.0,0.0,0.0,0.0,83500.0
324,2444.0,7.0691,1.0,0.0,0.0,0.0,0.0,83400.0
511,2843.0,6.1265,1.0,0.0,0.0,0.0,0.0,466100.0
512,518.0,6.3325,1.0,0.0,0.0,0.0,0.0,500001.0
513,501.0,2.4821,1.0,0.0,0.0,0.0,0.0,457800.0
514,2111.0,6.6131,1.0,0.0,0.0,0.0,0.0,471600.0
515,1127.0,5.5921,1.0,0.0,0.0,0.0,0.0,500001.0
516,4089.0,7.8287,1.0,0.0,0.0,0.0,0.0,398600.0
517,1548.0,9.7037,1.0,0.0,0.0,0.0,0.0,340700.0
518,140.0,12.5915,1.0,0.0,0.0,0.0,0.0,289900.0
519,1633.0,6.7027,1.0,0.0,0.0,0.0,0.0,335300.0
521,579.0,3.375,1.0,0.0,0.0,0.0,0.0,241000.0
522,146.0,4.9018,1.0,0.0,0.0,0.0,0.0,189600.0
524,3011.0,10.7372,1.0,0.0,0.0,0.0,0.0,215700.0
525,2777.0,9.5271,1.0,0.0,0.0,0.0,0.0,210200.0
526,3280.0,8.003,1.0,0.0,0.0,0.0,0.0,208800.0
859,1058.0,2.0644,1.0,0.0,0.0,0.0,0.0,269800.0
860,1033.0,1.4911,1.0,0.0,0.0,0.0,0.0,231200.0
863,844.0,2.6923,1.0,0.0,0.0,0.0,0.0,278200.0
873,937.0,3.4408,1.0,0.0,0.0,0.0,0.0,216100.0
875,573.0,2.4896,1.0,0.0,0.0,0.0,0.0,231200.0
876,1041.0,2.3947,1.0,0.0,0.0,0.0,0.0,162500.0
879,1093.0,2.0962,1.0,0.0,0.0,0.0,0.0,189400.0
880,1221.0,2.087,1.0,0.0,0.0,0.0,0.0,220800.0
1080,353.0,3.8333,1.0,0.0,0.0,0.0,0.0,98800.0
1082,851.0,3.45,1.0,0.0,0.0,0.0,0.0,81300.0
1100,504.0,2.7188,1.0,0.0,0.0,0.0,0.0,97200.0
1101,268.0,3.4514,1.0,0.0,0.0,0.0,0.0,97600.0
1115,486.0,4.9833,1.0,0.0,0.0,0.0,0.0,104900.0
1116,1145.0,4.81,1.0,0.0,0.0,0.0,0.0,110200.0
1117,3565.0,3.0795,1.0,0.0,0.0,0.0,0.0,103800.0
1118,1050.0,6.3688,1.0,0.0,0.0,0.0,0.0,80800.0
1119,1278.0,4.45,1.0,0.0,0.0,0.0,0.0,87300.0
1120,3540.0,4.2639,1.0,0.0,0.0,0.0,0.0,85500.0
1121,1047.0,3.275,1.0,0.0,0.0,0.0,0.0,85000.0
1122,759.0,6.0808,1.0,0.0,0.0,0.0,0.0,93500.0
1123,1124.0,4.2685,1.0,0.0,0.0,0.0,0.0,96700.0
1124,1804.0,4.4875,1.0,0.0,0.0,0.0,0.0,109700.0
1125,314.0,6.2037,1.0,0.0,0.0,0.0,0.0,85800.0
1126,1598.0,6.838,1.0,0.0,0.0,0.0,0.0,92800.0
1127,624.0,5.76,1.0,0.0,0.0,0.0,0.0,70500.0
1128,3566.0,4.4818,1.0,0.0,0.0,0.0,0.0,121800.0
1129,2608.0,2.8214,1.0,0.0,0.0,0.0,0.0,102600.0
1130,1338.0,4.125,1.0,0.0,0.0,0.0,0.0,101200.0
1131,1197.0,3.2865,1.0,0.0,0.0,0.0,0.0,168300.0
1132,1216.0,3.3214,1.0,0.0,0.0,0.0,0.0,126100.0
1133,1533.0,4.2353,1.0,0.0,0.0,0.0,0.0,83800.0
1134,1990.0,3.5104,1.0,0.0,0.0,0.0,0.0,92600.0
1135,935.0,2.9519,1.0,0.0,0.0,0.0,0.0,111200.0
1136,2582.0,2.1062,1.0,0.0,0.0,0.0,0.0,87500.0
1137,2279.0,3.9,1.0,0.0,0.0,0.0,0.0,87500.0
1138,2560.0,4.2538,1.0,0.0,0.0,0.0,0.0,94700.0
1139,981.0,2.6429,1.0,0.0,0.0,0.0,0.0,62500.0
1140,2243.0,2.525,1.0,0.0,0.0,0.0,0.0,83300.0
1141,2882.0,5.901,1.0,0.0,0.0,0.0,0.0,85700.0
1142,2919.0,3.6548,1.0,0.0,0.0,0.0,0.0,79500.0
1143,1970.0,4.3409,1.0,0.0,0.0,0.0,0.0,53600.0
1144,1181.0,3.4,1.0,0.0,0.0,0.0,0.0,65200.0
1145,2917.0,4.1514,1.0,0.0,0.0,0.0,0.0,84100.0
1146,1460.0,4.2708,1.0,0.0,0.0,0.0,0.0,142300.0
1147,892.0,3.0,1.0,0.0,0.0,0.0,0.0,93800.0
1148,3401.0,4.2935,1.0,0.0,0.0,0.0,0.0,90800.0
1149,1957.0,6.6458,1.0,0.0,0.0,0.0,0.0,91800.0
1150,2710.0,7.5078,1.0,0.0,0.0,0.0,0.0,97500.0
1151,868.0,7.7464,1.0,0.0,0.0,0.0,0.0,91200.0
1152,2477.0,6.7248,1.0,0.0,0.0,0.0,0.0,73800.0
1153,2907.0,7.0808,1.0,0.0,0.0,0.0,0.0,86400.0
1154,881.0,5.1408,1.0,0.0,0.0,0.0,0.0,62100.0
1155,523.0,2.7353,1.0,0.0,0.0,0.0,0.0,72200.0
1156,1303.0,4.9955,1.0,0.0,0.0,0.0,0.0,57600.0
1157,1004.0,4.8015,1.0,0.0,0.0,0.0,0.0,58300.0
1158,1616.0,3.3603,1.0,0.0,0.0,0.0,0.0,51700.0
1159,894.0,4.175,1.0,0.0,0.0,0.0,0.0,57900.0
1160,1135.0,4.2143,1.0,0.0,0.0,0.0,0.0,53100.0
1161,1123.0,5.5792,1.0,0.0,0.0,0.0,0.0,56100.0
1162,1120.0,4.1492,1.0,0.0,0.0,0.0,0.0,58000.0
1163,1074.0,5.1068,1.0,0.0,0.0,0.0,0.0,56700.0
1164,1578.0,4.58,1.0,0.0,0.0,0.0,0.0,57600.0
1165,801.0,7.8193,1.0,0.0,0.0,0.0,0.0,63300.0
1166,1499.0,5.5649,1.0,0.0,0.0,0.0,0.0,59800.0
1167,931.0,6.7415,1.0,0.0,0.0,0.0,0.0,65200.0
1168,1508.0,8.203,1.0,0.0,0.0,0.0,0.0,42500.0
1169,4717.0,3.7816,1.0,0.0,0.0,0.0,0.0,45100.0
1170,4483.0,3.5497,1.0,0.0,0.0,0.0,0.0,39400.0
1171,3562.0,7.167,1.0,0.0,0.0,0.0,0.0,50300.0
1172,4178.0,6.3249,1.0,0.0,0.0,0.0,0.0,53800.0
1173,670.0,6.5146,1.0,0.0,0.0,0.0,0.0,53900.0
1174,1724.0,6.1419,1.0,0.0,0.0,0.0,0.0,41800.0
1175,4459.0,3.0347,1.0,0.0,0.0,0.0,0.0,88900.0
1176,2239.0,5.6149,1.0,0.0,0.0,0.0,0.0,82600.0
1177,1945.0,8.7471,1.0,0.0,0.0,0.0,0.0,63600.0
1178,1242.0,4.6944,1.0,0.0,0.0,0.0,0.0,59400.0
1179,2676.0,3.4091,1.0,0.0,0.0,0.0,0.0,60600.0
1180,3056.0,4.0077,1.0,0.0,0.0,0.0,0.0,57100.0
1181,1190.0,7.2772,1.0,0.0,0.0,0.0,0.0,49000.0
1182,2957.0,3.3892,1.0,0.0,0.0,0.0,0.0,80400.0
1183,1690.0,4.375,1.0,0.0,0.0,0.0,0.0,96200.0
1184,2230.0,4.3458,1.0,0.0,0.0,0.0,0.0,60000.0
1185,2891.0,3.2289,1.0,0.0,0.0,0.0,0.0,61300.0
1186,1318.0,4.125,1.0,0.0,0.0,0.0,0.0,73800.0
1187,1330.0,4.5417,1.0,0.0,0.0,0.0,0.0,86300.0
1188,1335.0,5.0232,1.0,0.0,0.0,0.0,0.0,86400.0
1189,969.0,4.8164,1.0,0.0,0.0,0.0,0.0,84600.0
1190,1590.0,4.5167,1.0,0.0,0.0,0.0,0.0,73500.0
1191,9135.0,2.5008,1.0,0.0,0.0,0.0,0.0,56200.0
