,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,0.0,0.0,0.0,1.0,0.0
95,-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0,0.0,0.0,0.0,1.0,0.0
101,-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,273400.0,0.0,0.0,0.0,1.0,0.0
104,-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,0.0,0.0,0.0,1.0,0.0
116,-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,218500.0,0.0,0.0,0.0,1.0,0.0
125,-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,337300.0,0.0,0.0,0.0,1.0,0.0
185,-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,112800.0,0.0,0.0,0.0,1.0,0.0
283,-122.16,37.79,22.0,12842.0,2048.0,4985.0,1967.0,5.9849,371000.0,0.0,0.0,0.0,1.0,0.0
389,-122.3,37.9,15.0,5083.0,1212.0,2420.0,1146.0,4.5824,256100.0,0.0,0.0,0.0,1.0,0.0
483,-122.26,37.86,35.0,5161.0,1744.0,3276.0,1742.0,1.6307,253600.0,0.0,0.0,0.0,1.0,0.0
506,-122.3,37.84,14.0,7355.0,2408.0,3100.0,2051.0,4.0018,143800.0,0.0,0.0,0.0,1.0,0.0
564,-122.24,37.73,21.0,7031.0,1249.0,2930.0,1235.0,4.5213,228400.0,0.0,0.0,0.0,1.0,0.0
566,-122.24,37.72,5.0,18634.0,2885.0,7427.0,2718.0,7.611,350700.0,0.0,0.0,0.0,1.0,0.0
567,-122.27,37.73,31.0,5785.0,1379.0,2973.0,1312.0,3.2689,231000.0,0.0,0.0,0.0,1.0,0.0
569,-122.27,37.74,28.0,6909.0,1554.0,2974.0,1484.0,3.6875,353900.0,0.0,0.0,0.0,1.0,0.0
570,-122.27,37.77,23.0,5679.0,1270.0,2690.0,1151.0,4.7695,291700.0,0.0,0.0,0.0,1.0,0.0
572,-122.06,37.77,12.0,14316.0,2045.0,5781.0,2007.0,7.2634,341600.0,0.0,0.0,0.0,1.0,0.0
588,-122.1,37.71,27.0,6740.0,1073.0,2723.0,1035.0,5.2131,252500.0,0.0,0.0,0.0,1.0,0.0
