,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
948,-121.92,37.64,46.0,1280.0,209.0,512.0,208.0,5.1406,315600.0,0.0,1.0,0.0,0.0,0.0
951,-121.9,37.66,18.0,7397.0,1137.0,3126.0,1115.0,6.4994,323000.0,0.0,1.0,0.0,0.0,0.0
959,-121.88,37.68,23.0,2234.0,270.0,854.0,286.0,7.333,337200.0,0.0,1.0,0.0,0.0,0.0
961,-121.88,37.67,16.0,4070.0,624.0,1543.0,577.0,6.5214,311500.0,0.0,1.0,0.0,0.0,0.0
962,-121.88,37.67,25.0,2244.0,301.0,937.0,324.0,6.4524,296900.0,0.0,1.0,0.0,0.0,0.0
963,-121.89,37.67,20.0,2948.0,471.0,1181.0,474.0,6.0604,247900.0,0.0,1.0,0.0,0.0,0.0
964,-121.89,37.67,19.0,2034.0,288.0,852.0,295.0,6.5285,300400.0,0.0,1.0,0.0,0.0,0.0
967,-121.88,37.66,29.0,2702.0,680.0,1360.0,642.0,3.1127,233000.0,0.0,1.0,0.0,0.0,0.0
968,-121.87,37.66,39.0,522.0,116.0,161.0,102.0,2.4896,238500.0,0.0,1.0,0.0,0.0,0.0
969,-121.87,37.66,52.0,775.0,134.0,315.0,123.0,5.0677,233300.0,0.0,1.0,0.0,0.0,0.0
970,-121.89,37.66,3.0,1565.0,464.0,769.0,461.0,2.1187,231300.0,0.0,1.0,0.0,0.0,0.0
971,-121.88,37.64,20.0,1309.0,184.0,514.0,172.0,10.9506,475800.0,0.0,1.0,0.0,0.0,0.0
973,-121.87,37.67,10.0,4337.0,800.0,1813.0,743.0,5.5,247200.0,0.0,1.0,0.0,0.0,0.0
974,-121.87,37.67,28.0,1812.0,294.0,853.0,278.0,4.9879,229400.0,0.0,1.0,0.0,0.0,0.0
975,-121.85,37.68,4.0,4719.0,741.0,1895.0,742.0,6.8132,282500.0,0.0,1.0,0.0,0.0,0.0
976,-121.85,37.66,14.0,4236.0,701.0,1833.0,663.0,5.6399,300600.0,0.0,1.0,0.0,0.0,0.0
977,-121.86,37.66,22.0,3634.0,664.0,1699.0,640.0,4.1597,293200.0,0.0,1.0,0.0,0.0,0.0
978,-121.87,37.66,27.0,1569.0,242.0,583.0,214.0,5.7519,278500.0,0.0,1.0,0.0,0.0,0.0
979,-121.84,37.66,13.0,13182.0,2074.0,4847.0,1950.0,5.6417,352900.0,0.0,1.0,0.0,0.0,0.0
980,-121.85,37.72,43.0,228.0,40.0,83.0,42.0,10.3203,400000.0,0.0,1.0,0.0,0.0,0.0
